eapa_case,entity_name,role,country,source_pdf
EAPA-7335,Allied Group,alleger,,https://www.cbp.gov/sites/default/files/assets/documents/2020-Nov/11-06-2020-TRLED-Determination-as-to-Evasion-for-Norca-and-IPPG-7335-PV.pdf
EAPA-7348,Kingtom Aluminio SRL,alleger,,https://www.cbp.gov/sites/default/files/assets/documents/2020-Dec/11-02-2020%20-%20TRLED%20-%20Final%20Determination%20%28Cons%20Case%207348%29%28508%20compliant%29%20-%20PV.pdf
EAPA-7354,"Gogo International, Inc",importer,,https://www.cbp.gov/sites/default/files/assets/documents/2021-May/05-19-2021%20-%20TRLED%20-%20Notice%20of%20Initiation%20of%20Invest.%20of%20Interim%20Measures%20%28508%20compliant%29%20%287354%29%20-%20PV.pdf
EAPA-7357,Truong Hong Development Multidisciplinary Group,foreign_supplier,Laos,https://www.cbp.gov/sites/default/files/assets/documents/2020-Oct/10-26-2020%20-%20TRLED%20-%20Notice%20of%20Determination%20as%20to%20Evasion%20%28508%20compliant%29%20-%20%28Cons%20Case%207357%29%20-%20PV%20%282%29.pdf
EAPA-7501,CEK Group,importer,,https://www.cbp.gov/sites/default/files/assets/documents/2021-Jan/12-18-2020%20-%20TRLED%20-%20NOI%20-%20Cons%207501%20%28508%20compliant%29%20-%20final.pdf
EAPA-7501,D&J Trading,importer,,https://www.cbp.gov/sites/default/files/assets/documents/2021-Jan/12-18-2020%20-%20TRLED%20-%20NOI%20-%20Cons%207501%20%28508%20compliant%29%20-%20final.pdf
EAPA-7501,Hanger Supply Inc,importer,,https://www.cbp.gov/sites/default/files/assets/documents/2021-Jan/12-18-2020%20-%20TRLED%20-%20NOI%20-%20Cons%207501%20%28508%20compliant%29%20-%20final.pdf
EAPA-7501,KSA Supply Corp,importer,,https://www.cbp.gov/sites/default/files/assets/documents/2021-Jan/12-18-2020%20-%20TRLED%20-%20NOI%20-%20Cons%207501%20%28508%20compliant%29%20-%20final.pdf
EAPA-7509,Accuride Corp,alleger,,https://www.cbp.gov/sites/default/files/assets/documents/2020-Dec/11-23-2020%20-%20TRLED%20-%20Notice%20of%20Initiation%20of%20Invest.%20and%20Interim%20Measures%20%28508%20compliant%29%20%281%29%20-%20%287509%29%20-%20PV.pdf
EAPA-7522,AAA Innovation LLC,importer,,https://www.cbp.gov/sites/default/files/assets/documents/2021-Mar/03-01-2021%20-%20TRLED%20-%20Notice%20of%20Initiation%20and%20Interim%20Measures%20%28508%20compliant%29%20-%20%287522%29%20-%20PV.pdf
EAPA-7522,"Astera Kitchen and Bath, Inc",importer,,https://www.cbp.gov/sites/default/files/assets/documents/2021-Mar/03-01-2021%20-%20TRLED%20-%20Notice%20of%20Initiation%20and%20Interim%20Measures%20%28508%20compliant%29%20-%20%287522%29%20-%20PV.pdf
EAPA-7522,FTR LLC,importer,,https://www.cbp.gov/sites/default/files/assets/documents/2021-Mar/03-01-2021%20-%20TRLED%20-%20Notice%20of%20Initiation%20and%20Interim%20Measures%20%28508%20compliant%29%20-%20%287522%29%20-%20PV.pdf
