eapa_case,respondents,commodity,country_of_origin,determination_date,notice_type,source_url
2026-08130,,,CN,2026-04-27,Covered Merchandise Referral (Federal Register),https://www.federalregister.gov/documents/2026/04/27/2026-08130/certain-chassis-and-subassemblies-thereof-from-the-peoples-republic-of-china-final-determination-of
2026-01447,,,CN,2026-01-26,Covered Merchandise Referral (Federal Register),https://www.federalregister.gov/documents/2026/01/26/2026-01447/certain-chassis-and-subassemblies-thereof-from-the-peoples-republic-of-china-preliminary
2025-24069,,steel (72),CN,2025-12-31,Covered Merchandise Referral (Federal Register),https://www.federalregister.gov/documents/2025/12/31/2025-24069/oil-country-tubular-goods-from-the-peoples-republic-of-china-notice-of-covered-merchandise-referral
EAPA-7913,,,,2025-05-29,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-8143,"Commercial Steel Products LLC and JOL Tubular, Inc.",steel (72),,2025-05-13,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-8135,USASourcing Inc. and Tradewide Inc.,,,2025-05-12,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7969,"Thompson Aluminum Casting Company, Inc.",aluminum (7604),,2025-05-09,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-8137,"Island Home Building Materials, Inc.",,,2025-05-06,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-8132,Wholesale Equipment Co.,,,2025-04-17,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
2025-05746,,,CN,2025-04-03,Covered Merchandise Referral (Federal Register),https://www.federalregister.gov/documents/2025/04/03/2025-05746/certain-chassis-and-subassemblies-thereof-from-the-peoples-republic-of-china-notice-of-covered
EAPA-7889,JBS Trading LLC,,,2025-03-26,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7899,"Highland USA International, Inc.",,,2025-03-26,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7887,,,,2025-03-17,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7888,,,,2025-03-13,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7890,,,,2025-02-24,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-8042,Allied Food Products Inc.,,,2025-02-20,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-8112,TriMar Ribbons Inc. and Ribest Ribbons &amp; Bows USA Inc.,,,2025-02-03,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-8052,,,,2025-01-28,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-8093,,,,2025-01-28,Notice of Initiation of Investigation and Interim Measures,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7853,Foods LLC,,,2025-01-27,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
2025-00560,,chemical (29),CN,2025-01-14,Covered Merchandise Referral (Federal Register),https://www.federalregister.gov/documents/2025/01/14/2025-00560/monosodium-glutamate-from-the-peoples-republic-of-china-notice-of-intent-to-address-covered
EAPA-7902,Global Natural Ingredients,,,2025-01-13,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7835,Lighthouse Rock,,,2024-12-09,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
EAPA-7841,"BMF Imports, LLC.",,,2024-10-24,Notice of Determination as to Evasion,https://www.cbp.gov/trade/eapa/notices-action
