entity_name,source,matched_name,identifier,country,address,incorporation_date,status
Allied Group,GLEIF,Allied Marketing Group Inc.,254900XDN17UQA06X871,CA,"PO BOX 86, COALDALE, CA-AB, CA",,ACTIVE
Allied Group,EDGAR(fuzzy),"Allied Group Holdings, LLC",0001993406,US,"C/O BERNHARD CAPITAL PARTNERS MANAGEMENT, BATON ROUGE, LA, 70802",,state_inc=DE
Accuride Corp,EDGAR,ACCURIDE CORP,0000817979,US,"ACCURIDE, EVANSVILLE, IN, 47715",,state_inc=DE
CNC Associates,GLEIF,"CNC ASSOCIATES, INC.",549300CTRXE4LKY38404,US,"C/O CORPORATION SERVICE COMPANY, SACRAMENTO, US-CA, US",,ACTIVE
Vivaldi Commercial LLC,GLEIF,"VIVALDI COMMERCIAL, LLC",254900EAPTGXQY9BW809,US,"C/O ANJALI KHANNA, SUGAR LAND, US-TX, US",,ACTIVE
"Splendid Trading Co., Superior Granite",GLEIF,Superior Granite LLC,2549000H62SXIB6L4U12,US,"C/O JUAN HUMBERTO MARQUEZ, MISSION, US-TX, US",,ACTIVE
Marble By Vivaldi LLC,GLEIF,Superior Granite and Marble By Vivaldi LLC,549300RFPQT4O2B15G38,US,"C/O Sanjay Khanna, Houston, US-TX, US",,ACTIVE
"MasterBrand Cabinets, Inc",GLEIF,MASTERBRAND CABINETS LLC,5493007WQW6SY8P4PA49,US,"C/O CORPORATION SERVICE COMPANY, WILMINGTON, US-DE, US",,ACTIVE
"Geo Specialty Chemicals, Inc",GLEIF,"GEO SPECIALTY CHEMICALS, INC.",5493008EQQJM94ZTAX81,US,"C/O CT CORPORATION SYSTEM, COLUMBUS, US-OH, US",,ACTIVE
"C.I.S. Investments, LLC",GLEIF,"C.I.S. INVESTMENTS, L.L.C.",2549007SJ2RDU3ZT0G33,US,"c/o JOHN AARON WEAVER, MOUNDS, US-OK, US",,ACTIVE
Flatland Holdings,GLEIF,"FLATLAND HOLDINGS, LLC",254900B9HM10H0TNCS38,US,"C/O J. HOMER DANIELS, MIDLAND, US-TX, US",,ACTIVE
Manufacturing Network Inc,GLEIF,"Manufacturing Network, Inc.",254900UNSGJGQORV8946,US,"31109 County Road 19, Dassel, US-MN, US",,ACTIVE
The Advantage Group,GLEIF,"The Advantage Group International, Inc.",549300LX6YRWIBCQY155,CA,"6th Floor, Toronto, CA-ON, CA",,ACTIVE
"CP Kelco U.S., Inc",GLEIF,"CP KELCO U.S., INC.",5493009K0J4C253C7814,US,"C/O THE CORPORATION TRUST COMPANY, WILMINGTON, US-DE, US",,ACTIVE
"Exquis Inc., Lollicup USA Inc",GLEIF,LOLLICUP USA INC.,5493004RZJADVUPRUZ34,US,"C/O MARVIN CHENG, Chino, US-CA, US",,ACTIVE
Export Co,GLEIF,BANSAL EXPORT CO.,25490009YIOX3W09K148,IN,"KAKARWAL, RANIKE ROAD, DHURI, SANGRUR, IN-PB, IN",,ACTIVE
"Hog Slat, Inc",GLEIF,"Hog Slat, Incorporated",5493007ABMZRR7057J69,US,"C/O WILLIAM THOMAS HERRING, Newton Grove, US-NC, US",,ACTIVE
